country,country_code,continent,population,indicator,weekly_count,year_week,rate_14_day,cumulative_count
Andorra,AND,Europe,76177,cases,5,2020-11,,5
Andorra,AND,Europe,76177,cases,108,2020-12,148.3387374,113
Andorra,AND,Europe,76177,cases,221,2020-13,431.8888903,334
Andorra,AND,Europe,76177,cases,167,2020-14,509.3400895,501
Andorra,AND,Europe,76177,cases,137,2020-15,399.0705856,638
Andorra,AND,Europe,76177,deaths,0,2020-11,,0
Andorra,AND,Europe,76177,deaths,0,2020-12,0,0
Andorra,AND,Europe,76177,deaths,6,2020-13,78.76393137,6
Andorra,AND,Europe,76177,deaths,12,2020-14,236.2917941,18
Andorra,AND,Europe,76177,deaths,11,2020-15,301.9284036,29
Angola,AGO,Africa,32866268,cases,2,2020-12,,2
Angola,AGO,Africa,32866268,cases,5,2020-13,0.021298433,7
Angola,AGO,Africa,32866268,cases,7,2020-14,0.036511599,14
Angola,AGO,Africa,32866268,cases,5,2020-15,0.036511599,19
Angola,AGO,Africa,32866268,deaths,0,2020-12,,0
Angola,AGO,Africa,32866268,deaths,2,2020-13,0.060852665,2
Angola,AGO,Africa,32866268,deaths,0,2020-14,0.060852665,2
Angola,AGO,Africa,32866268,deaths,0,2020-15,0,2
Argentina,ARG,America,45195777,cases,12,2020-10,,12
Argentina,ARG,America,45195777,cases,44,2020-11,0.123905382,56
Argentina,ARG,America,45195777,cases,210,2020-12,0.56199941,266
Argentina,ARG,America,45195777,cases,554,2020-13,1.690423422,820
Argentina,ARG,America,45195777,cases,734,2020-14,2.849823779,1554
Argentina,ARG,America,45195777,cases,649,2020-15,3.060020409,2203
Argentina,ARG,America,45195777,deaths,1,2020-10,,1
Argentina,ARG,America,45195777,deaths,1,2020-11,0.044251922,2
Argentina,ARG,America,45195777,deaths,2,2020-12,0.066377883,4
Argentina,ARG,America,45195777,deaths,16,2020-13,0.398267298,20
Argentina,ARG,America,45195777,deaths,26,2020-14,0.929290363,46
Argentina,ARG,America,45195777,deaths,49,2020-15,1.659447076,95
Australia,AUS,Oceania,25499881,cases,0,2020-01,,0
Australia,AUS,Oceania,25499881,cases,0,2020-02,0,0
Australia,AUS,Oceania,25499881,cases,0,2020-03,0,0
Australia,AUS,Oceania,25499881,cases,4,2020-04,0.015686348,4
Australia,AUS,Oceania,25499881,cases,7,2020-05,0.043137456,11
Australia,AUS,Oceania,25499881,cases,3,2020-06,0.039215869,14
Australia,AUS,Oceania,25499881,cases,1,2020-07,0.015686348,15
Australia,AUS,Oceania,25499881,cases,7,2020-08,0.031372695,22
Australia,AUS,Oceania,25499881,cases,7,2020-09,0.054902217,29
Australia,AUS,Oceania,25499881,cases,51,2020-10,0.227452042,80
Australia,AUS,Oceania,25499881,cases,218,2020-11,1.054906884,298
Australia,AUS,Oceania,25499881,cases,1411,2020-12,6.388265106,1709
Australia,AUS,Oceania,25499881,cases,2384,2020-13,14.88242239,4093
Australia,AUS,Oceania,25499881,cases,1651,2020-14,15.82360326,5744
Australia,AUS,Oceania,25499881,cases,578,2020-15,8.741217263,6322
Australia,AUS,Oceania,25499881,deaths,0,2020-01,,0
Australia,AUS,Oceania,25499881,deaths,0,2020-02,0,0
Australia,AUS,Oceania,25499881,deaths,0,2020-03,0,0
Australia,AUS,Oceania,25499881,deaths,0,2020-04,0,0
Australia,AUS,Oceania,25499881,deaths,0,2020-05,0,0
Australia,AUS,Oceania,25499881,deaths,0,2020-06,0,0
Australia,AUS,Oceania,25499881,deaths,0,2020-07,0,0
Australia,AUS,Oceania,25499881,deaths,0,2020-08,0,0
Australia,AUS,Oceania,25499881,deaths,1,2020-09,0.039215869,1
Australia,AUS,Oceania,25499881,deaths,2,2020-10,0.117647608,3
Australia,AUS,Oceania,25499881,deaths,2,2020-11,0.156863477,5
Australia,AUS,Oceania,25499881,deaths,2,2020-12,0.156863477,7
Australia,AUS,Oceania,25499881,deaths,9,2020-13,0.431374562,16
Australia,AUS,Oceania,25499881,deaths,20,2020-14,1.137260209,36
Australia,AUS,Oceania,25499881,deaths,25,2020-15,1.764714118,61
Austria,AUT,Europe,8901064,cases,0,2020-01,,0
Austria,AUT,Europe,8901064,cases,0,2020-02,0,0
Austria,AUT,Europe,8901064,cases,0,2020-03,0,0
Austria,AUT,Europe,8901064,cases,0,2020-04,0,0
Austria,AUT,Europe,8901064,cases,0,2020-05,0,0
Austria,AUT,Europe,8901064,cases,0,2020-06,0,0
Austria,AUT,Europe,8901064,cases,0,2020-07,0,0
Austria,AUT,Europe,8901064,cases,0,2020-08,0,0
Austria,AUT,Europe,8901064,cases,14,2020-09,0.157284567,14
Austria,AUT,Europe,8901064,cases,88,2020-10,1.145930419,102
Austria,AUT,Europe,8901064,cases,758,2020-11,9.504481711,860
Austria,AUT,Europe,8901064,cases,2771,2020-12,39.64694558,3631
Austria,AUT,Europe,8901064,cases,5182,2020-13,89.34886885,8813
Austria,AUT,Europe,8901064,cases,3170,2020-14,93.83147902,11983
Austria,AUT,Europe,8901064,cases,1954,2020-15,57.56615164,13937
Austria,AUT,Europe,8901064,deaths,0,2020-01,,0
Austria,AUT,Europe,8901064,deaths,0,2020-02,0,0
Austria,AUT,Europe,8901064,deaths,0,2020-03,0,0
