country,country_code,continent,population,indicator,weekly_count,year_week,rate_14_day,cumulative_count
Angola,AGO,Africa,32866268,cases,2,2020-12,,2
Angola,AGO,Africa,32866268,cases,5,2020-13,0.021,7
Angola,AGO,Africa,32866268,cases,7,2020-14,0.037,14
Angola,AGO,Africa,32866268,cases,5,2020-15,0.037,19
Angola,AGO,Africa,32866268,cases,5,2020-16,0.03,24
Angola,AGO,Africa,32866268,cases,2,2020-17,0.021,26
Angola,AGO,Africa,32866268,cases,9,2020-18,0.033,35
Angola,AGO,Africa,32866268,cases,10,2020-19,0.058,45
Angola,AGO,Africa,32866268,cases,3,2020-20,0.04,48
Angola,AGO,Africa,32866268,cases,21,2020-21,0.073,69
Angola,AGO,Africa,32866268,cases,17,2020-22,0.116,86
Angola,AGO,Africa,32866268,cases,5,2020-23,0.067,91
Angola,AGO,Africa,32866268,cases,49,2020-24,0.164,140
Angola,AGO,Africa,32866268,cases,36,2020-25,0.259,176
Angola,AGO,Africa,32866268,cases,91,2020-26,0.386,267
Angola,AGO,Africa,32866268,cases,79,2020-27,0.517,346
Angola,AGO,Africa,32866268,cases,160,2020-28,0.727,506
Angola,AGO,Africa,32866268,cases,199,2020-29,1.092,705
Angola,AGO,Africa,32866268,cases,225,2020-30,1.29,930
Angola,AGO,Africa,32866268,cases,218,2020-31,1.348,1148
Angola,AGO,Africa,32866268,cases,424,2020-32,1.953,1572
Angola,AGO,Africa,32866268,cases,307,2020-33,2.224,1879
Angola,AGO,Africa,32866268,cases,292,2020-34,1.823,2171
Angola,AGO,Africa,32866268,cases,453,2020-35,2.267,2624
Angola,AGO,Africa,32866268,cases,311,2020-36,2.325,2935
Angola,AGO,Africa,32866268,cases,400,2020-37,2.163,3335
Angola,AGO,Africa,32866268,cases,656,2020-38,3.213,3991
Angola,AGO,Africa,32866268,cases,681,2020-39,4.068,4672
Angola,AGO,Africa,32866268,cases,698,2020-40,4.196,5370
Angola,AGO,Africa,32866268,cases,876,2020-41,4.789,6246
Angola,AGO,Africa,32866268,cases,1216,2020-42,6.365,7462
Angola,AGO,Africa,32866268,cases,1564,2020-43,8.459,9026
Angola,AGO,Africa,32866268,cases,1779,2020-44,10.172,10805
Angola,AGO,Africa,32866268,cases,1530,2020-45,10.068,12335
Angola,AGO,Africa,32866268,cases,1039,2020-46,7.817,13374
Angola,AGO,Africa,32866268,cases,1119,2020-47,6.566,14493
Angola,AGO,Africa,32866268,cases,610,2020-48,5.261,15103
Angola,AGO,Africa,32866268,cases,433,2020-49,3.173,15536
Angola,AGO,Africa,32866268,cases,652,2020-50,3.301,16188
Angola,AGO,Africa,32866268,cases,456,2020-51,3.371,16644
Angola,AGO,Africa,32866268,cases,652,2020-52,3.371,17296
Angola,AGO,Africa,32866268,cases,346,2020-53,3.037,17642
Angola,AGO,Africa,32866268,cases,551,2021-01,2.729,18193
Angola,AGO,Africa,32866268,cases,682,2021-02,3.752,18875
Angola,AGO,Africa,32866268,cases,524,2021-03,3.669,19399
Angola,AGO,Africa,32866268,cases,397,2021-04,2.802,19796
Angola,AGO,Africa,32866268,cases,290,2021-05,2.09,20086
Angola,AGO,Africa,32866268,cases,280,2021-06,1.734,20366
Angola,AGO,Africa,32866268,cases,153,2021-07,1.317,20519
Angola,AGO,Africa,32866268,cases,288,2021-08,1.342,20807
Angola,AGO,Africa,32866268,cases,279,2021-09,1.725,21086
Angola,AGO,Africa,32866268,cases,294,2021-10,1.743,21380
Angola,AGO,Africa,32866268,cases,353,2021-11,1.969,21733
Angola,AGO,Africa,32866268,cases,330,2021-12,2.078,22063
Angola,AGO,Africa,32866268,cases,568,2021-13,2.732,22631
Angola,AGO,Africa,32866268,cases,700,2021-14,3.858,23331
Angola,AGO,Africa,32866268,cases,1058,2021-15,5.349,24389
Angola,AGO,Africa,32866268,deaths,0,2020-12,,0
Angola,AGO,Africa,32866268,deaths,2,2020-13,0.061,2
Angola,AGO,Africa,32866268,deaths,0,2020-14,0.061,2
Angola,AGO,Africa,32866268,deaths,0,2020-15,0,2
Angola,AGO,Africa,32866268,deaths,0,2020-16,0,2
Angola,AGO,Africa,32866268,deaths,0,2020-17,0,2
Angola,AGO,Africa,32866268,deaths,0,2020-18,0,2
Angola,AGO,Africa,32866268,deaths,0,2020-19,0,2
Angola,AGO,Africa,32866268,deaths,0,2020-20,0,2
Angola,AGO,Africa,32866268,deaths,2,2020-21,0.061,4
Angola,AGO,Africa,32866268,deaths,0,2020-22,0.061,4
Angola,AGO,Africa,32866268,deaths,0,2020-23,0,4
Angola,AGO,Africa,32866268,deaths,2,2020-24,0.061,6
Angola,AGO,Africa,32866268,deaths,3,2020-25,0.152,9
Angola,AGO,Africa,32866268,deaths,2,2020-26,0.152,11
Angola,AGO,Africa,32866268,deaths,8,2020-27,0.304,19
Angola,AGO,Africa,32866268,deaths,7,2020-28,0.456,26
Angola,AGO,Africa,32866268,deaths,3,2020-29,0.304,29
Angola,AGO,Africa,32866268,deaths,11,2020-30,0.426,40
Angola,AGO,Africa,32866268,deaths,12,2020-31,0.7,52
Angola,AGO,Africa,32866268,deaths,18,2020-32,0.913,70
Angola,AGO,Africa,32866268,deaths,16,2020-33,1.034,86
Angola,AGO,Africa,32866268,deaths,10,2020-34,0.791,96
Angola,AGO,Africa,32866268,deaths,11,2020-35,0.639,107
Angola,AGO,Africa,32866268,deaths,10,2020-36,0.639,117
Angola,AGO,Africa,32866268,deaths,15,2020-37,0.761,132
Angola,AGO,Africa,32866268,deaths,20,2020-38,1.065,152
Angola,AGO,Africa,32866268,deaths,19,2020-39,1.187,171
Angola,AGO,Africa,32866268,deaths,22,2020-40,1.247,193
Angola,AGO,Africa,32866268,deaths,25,2020-41,1.43,218
Angola,AGO,Africa,32866268,deaths,23,2020-42,1.46,241
Angola,AGO,Africa,32866268,deaths,26,2020-43,1.491,267
Angola,AGO,Africa,32866268,deaths,17,2020-44,1.308,284
Angola,AGO,Africa,32866268,deaths,19,2020-45,1.095,303
Angola,AGO,Africa,32866268,deaths,19,2020-46,1.156,322
Angola,AGO,Africa,32866268,deaths,15,2020-47,1.034,337
Angola,AGO,Africa,32866268,deaths,9,2020-48,0.73,346
Angola,AGO,Africa,32866268,deaths,8,2020-49,0.517,354
Angola,AGO,Africa,32866268,deaths,17,2020-50,0.761,371
Angola,AGO,Africa,32866268,deaths,16,2020-51,1.004,387
Angola,AGO,Africa,32866268,deaths,16,2020-52,0.974,403
Angola,AGO,Africa,32866268,deaths,5,2020-53,0.639,408
Angola,AGO,Africa,32866268,deaths,8,2021-01,0.396,416
Angola,AGO,Africa,32866268,deaths,20,2021-02,0.852,436
Angola,AGO,Africa,32866268,deaths,23,2021-03,1.308,459
Angola,AGO,Africa,32866268,deaths,7,2021-04,0.913,466
Angola,AGO,Africa,32866268,deaths,9,2021-05,0.487,475
Angola,AGO,Africa,32866268,deaths,17,2021-06,0.791,492
Angola,AGO,Africa,32866268,deaths,7,2021-07,0.73,499
Angola,AGO,Africa,32866268,deaths,9,2021-08,0.487,508
Angola,AGO,Africa,32866268,deaths,6,2021-09,0.456,514
Angola,AGO,Africa,32866268,deaths,7,2021-10,0.396,521
Angola,AGO,Africa,32866268,deaths,6,2021-11,0.396,527
Angola,AGO,Africa,32866268,deaths,6,2021-12,0.365,533
Angola,AGO,Africa,32866268,deaths,9,2021-13,0.456,542
Angola,AGO,Africa,32866268,deaths,8,2021-14,0.517,550
Angola,AGO,Africa,32866268,deaths,11,2021-15,0.578,561
Australia,AUS,Oceania,25499881,cases,0,2020-01,,0
Australia,AUS,Oceania,25499881,cases,0,2020-02,0,0
Australia,AUS,Oceania,25499881,cases,0,2020-03,0,0
Australia,AUS,Oceania,25499881,cases,4,2020-04,0.016,4
Australia,AUS,Oceania,25499881,cases,7,2020-05,0.043,11
Australia,AUS,Oceania,25499881,cases,3,2020-06,0.039,14
Australia,AUS,Oceania,25499881,cases,1,2020-07,0.016,15
Australia,AUS,Oceania,25499881,cases,7,2020-08,0.031,22
Australia,AUS,Oceania,25499881,cases,7,2020-09,0.055,29
Australia,AUS,Oceania,25499881,cases,51,2020-10,0.227,80
Australia,AUS,Oceania,25499881,cases,218,2020-11,1.055,298
Australia,AUS,Oceania,25499881,cases,1411,2020-12,6.388,1709
Australia,AUS,Oceania,25499881,cases,2384,2020-13,14.882,4093
Australia,AUS,Oceania,25499881,cases,1651,2020-14,15.824,5744
Australia,AUS,Oceania,25499881,cases,578,2020-15,8.741,6322
Australia,AUS,Oceania,25499881,cases,290,2020-16,3.404,6612
